Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
 Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,avtohtonnoe-vino-kryma-beloe-suhoe,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp,prod-svoe-vino-strapi\PU_Sjv7dn_M_Nil_H25_TO_9_Bcb_FN_55l_Pr_Hs_K4e_S_Lja8tm9_Ur62n50_Pyxhl_RO_1_RU_4s3e_N_Zb1_Yq_GT_4_HJPD_77_Qg_W_Tf3_Ng_e4a467fffd.webp,ok,1,False,
" Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.
",Коммуналка,aligote-barrel-2024,DSC09173.webp,prod-svoe-vino-strapi\DSC_09173_4a9ff95cc2.webp,ok,1,False,18.0
 ЗБ вайн СПУМАНТЕ Брют белое,Белое,соломенный,Крым,Алиготе,"Изысканный букет цитрусовых, с легким нюансом аромата весенних цветов и белых фруктов. Элегантный, деликатный вкус с хорошо сбалансированной кислотностью.",Золотая Балка,zb-vajn-spumante-bryut-beloe,Спуманте белый брют.webp,,no_sitemap,0,True,
100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\fanagoriya_100_ottenkov_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_135_ad8495191f.webp,ok,1,False,
100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-vyderzhannoe-135.webp,prod-svoe-vino-strapi\fanagoriya_100_ottenkov_krasnogo_pino_nuar_krasnoe_suhoe_vyderzhannoe_135_12baf813ea.webp,ok,1,False,
100 оттенков красного. Саперави,Красное,Темно-рубиновый,Кубань,Саперави,"В аромате тона ежевики, черники, тёмной вишни, оттенки специй. Вкус насыщенный, сбалансированный, с бархатными танинами.",Фанагория,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\fanagoriya_100_ottenkov_krasnogo_saperavi_krasnoe_suhoe_14_fa242e130a.webp,ok,1,False,
100 оттенков. Шардоне,Белое,Соломенный,Кубань,Шардоне,"В аромате яблоко, груша, цитрус, лёгкие цветочные ноты. Вкус свежий, гармоничный, с минеральными нотами и цитрусовыми оттенками.",Фанагория,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14.webp,prod-svoe-vino-strapi\fanagoriya_100_ottenkov_shardone_beloe_suhoe_14_dd14e33b83.webp,ok,1,False,
101 оттенок красного. Каберне,Красное,Тёмно-рубиновый,Кубань,Каберне Совиньон,"В аромате чёрная смородина, ежевика, слива, лёгкие древесные ноты. Вкус насыщенный, гармоничный, с округлыми танинами и пряными оттенками.",Фанагория,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\fanagoriya_101_ottenok_krasnogo_kaberne_kaberne_sovinon_krasnoe_suhoe_14_98c670a6a1.webp,ok,1,False,
101 оттенок красного. Пино нуар,Красное,Рубиновый,Кубань,Пино Нуар,"В аромате черника, малина, ежевика, корица, подлесок. Вкус освежающий, объемный.",Фанагория,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\fanagoriya_101_ottenok_krasnogo_pino_nuar_krasnoe_suhoe_135_62be6e1c10.webp,ok,1,False,
101 оттенок красного. Саперави,Красное,Тёмно-рубиновый,Кубань,Саперави,"В аромате ежевика, чёрная вишня, специи, оттенки фиалки. Вкус глубокий, бархатный, с сочной ягодной структурой и лёгкой терпкостью.",Фанагория,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\fanagoriya_101_ottenok_krasnogo_saperavi_krasnoe_suhoe_14_4716c6d770.webp,ok,1,False,
